# C-11 standard atmosphere (Data loaded from a file)
# 285 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.823,46.091,558.091,-4.449,4.449,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.372,948.1,0.00116,338.191,0.013,172900,4.6,20,0.227,0.497,0
17.05,45.081,557.081,-4.449,4.449,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.379,948.2,0.00116,338.195,0.013,172900,4.6,20,0.227,0.497,0
17.277,44.071,556.071,-4.449,4.449,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.386,948.3,0.00116,338.199,0.013,173000,4.6,20,0.227,0.497,0
17.504,43.061,555.061,-4.448,4.448,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.392,948.5,0.00116,338.203,0.013,173000,4.6,20,0.227,0.498,0
17.731,42.051,554.051,-4.448,4.448,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.399,948.6,0.00116,338.206,0.013,173000,4.6,20,0.227,0.498,0
17.958,41.041,553.041,-4.448,4.448,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.405,948.7,0.00116,338.21,0.013,173000,4.6,20,0.227,0.498,0
18.185,40.031,552.031,-4.448,4.448,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.412,948.8,0.00116,338.214,0.013,173000,4.6,20,0.227,0.501,0
18.412,39.021,551.021,-4.448,4.448,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.418,948.9,0.00116,338.218,0.013,173000,4.6,20,0.227,0.501,0
18.639,38.012,550.012,-4.447,4.447,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.425,949,0.00116,338.222,0.013,173000,4.6,20,0.227,0.501,0
18.866,37.002,549.002,-4.447,4.447,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.431,949.1,0.00116,338.226,0.013,173000,4.6,20,0.227,0.502,0
19.093,35.993,547.993,-4.447,4.447,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.438,949.2,0.00116,338.23,0.013,173000,4.6,20,0.227,0.502,0
19.32,34.983,546.983,-4.447,4.447,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.445,949.4,0.00116,338.234,0.013,173000,4.6,20,0.227,0.503,0
19.547,33.974,545.974,-4.446,4.446,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.451,949.5,0.00116,338.238,0.013,173000,4.6,20,0.227,0.503,0
19.774,32.965,544.965,-4.446,4.446,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.458,949.6,0.00116,338.242,0.013,173000,4.6,20,0.227,0.503,0
20.001,31.956,543.956,-4.446,4.446,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.464,949.7,0.00116,338.246,0.013,173000,4.6,20,0.227,0.504,0
20.228,30.947,542.947,-4.446,4.446,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.471,949.8,0.00116,338.25,0.013,173000,4.6,20,0.227,0.504,0
20.455,29.938,541.938,-4.446,4.446,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.477,949.9,0.00116,338.254,0.013,173000,4.6,20,0.227,0.505,0
20.682,28.929,540.929,-4.445,4.445,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.484,950,0.00116,338.258,0.013,173000,4.6,20,0.227,0.505,0
20.909,27.921,539.921,-4.445,4.445,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.491,950.1,0.00116,338.262,0.013,173000,4.6,20,0.227,0.505,0
21.136,26.912,538.912,-4.445,4.445,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.497,950.3,0.00116,338.266,0.013,173000,4.6,20,0.227,0.506,0
21.363,25.904,537.904,-4.445,4.445,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.504,950.4,0.00116,338.27,0.013,173000,4.6,20,0.227,0.506,0
21.59,24.895,536.895,-4.445,4.445,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.51,950.5,0.00116,338.274,0.013,173100,4.6,20,0.227,0.506,0
21.817,23.887,535.887,-4.444,4.444,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.517,950.6,0.00116,338.278,0.013,173100,4.6,20,0.227,0.506,0
22.043,22.879,534.879,-4.444,4.444,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.523,950.7,0.00116,338.282,0.013,173100,4.6,20,0.227,0.506,0
22.27,21.871,533.871,-4.444,4.444,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.53,950.8,0.00116,338.286,0.013,173100,4.6,20,0.227,0.507,0
22.497,20.863,532.863,-4.444,4.444,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.536,950.9,0.00116,338.29,0.013,173100,4.6,20,0.227,0.507,0
22.724,19.855,531.855,-4.443,4.443,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.543,951,0.00116,338.294,0.013,173100,4.6,20,0.227,0.507,0
22.951,18.847,530.847,-4.443,4.443,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.549,951.2,0.00116,338.298,0.013,173100,4.6,20,0.227,0.51,0
23.177,17.84,529.84,-4.443,4.443,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.556,951.3,0.00116,338.302,0.013,173100,4.6,20,0.227,0.51,0
23.404,16.832,528.832,-4.443,4.443,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.563,951.4,0.00116,338.306,0.013,173100,4.6,20,0.227,0.511,0
23.631,15.824,527.824,-4.443,4.443,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.569,951.5,0.00116,338.31,0.013,173100,4.6,20,0.227,0.511,0
23.858,14.817,526.817,-4.442,4.442,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.576,951.6,0.00116,338.314,0.013,173100,4.6,20,0.227,0.511,0
24.085,13.81,525.81,-4.442,4.442,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.582,951.7,0.00116,338.318,0.013,173100,4.6,20,0.227,0.512,0
24.311,12.803,524.803,-4.442,4.442,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.589,951.8,0.00117,338.322,0.013,173100,4.6,20,0.227,0.512,0
24.538,11.795,523.795,-4.442,4.442,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.595,951.9,0.00117,338.326,0.013,173100,4.6,20,0.227,0.513,0
24.765,10.788,522.788,-4.442,4.442,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.602,952.1,0.00117,338.33,0.013,173100,4.6,20,0.227,0.513,0
24.991,9.781,521.781,-4.441,4.441,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.608,952.2,0.00117,338.334,0.013,173100,4.6,20,0.227,0.513,0
25.218,8.775,520.775,-4.441,4.441,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.615,952.3,0.00117,338.338,0.013,173100,4.6,20,0.227,0.514,0
25.445,7.768,519.768,-4.441,4.441,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.622,952.4,0.00117,338.342,0.013,173100,4.6,20,0.227,0.514,0
25.672,6.761,518.761,-4.441,4.441,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.628,952.5,0.00117,338.345,0.013,173100,4.6,20,0.227,0.514,0
25.898,5.755,517.755,-4.441,4.441,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.635,952.6,0.00117,338.349,0.013,173100,4.6,20,0.227,0.514,0
26.125,4.748,516.748,-4.44,4.44,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.641,952.7,0.00117,338.353,0.013,173200,4.6,20,0.227,0.514,0
26.351,3.742,515.742,-4.44,4.44,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.648,952.8,0.00117,338.357,0.013,173200,4.6,20,0.227,0.514,0
26.578,2.736,514.736,-4.44,4.44,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.654,953,0.00117,338.361,0.013,173200,4.6,20,0.227,0.514,0
26.805,1.73,513.73,-4.44,4.44,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.661,953.1,0.00117,338.365,0.013,173200,4.6,20,0.39,0.515,0
# Event GROUND_HIT occurred at t=27.194 seconds
# Event SIMULATION_END occurred at t=27.194 seconds
27.194,0,512,-4.439,4.439,0.00093,0.00093,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.013,173200,4.6,20,NaN,0.515,0
